Exam Code,Exam Description,Subspecialty,Comments
CT CERV,CT SPINE CERVICAL WO CONTRAST,General CT,
CT CHES W,CT CHEST W CONTRAST,General CT,
CT CHES WO,CT CHEST WO CONTRAST,General CT,
CT EXLL WO,CT EXTREMITY LOWER LEFT WO CONTRAST,General CT,
CT EXUL WO,CT EXTREMITY UPPER LEFT WO CONTRAST,General CT,
CT EXUR WO,CT EXTREMITY UPPER RIGHT WO CONTRAST,General CT,
CT HEAD WO,CT HEAD WO CONTRAST,General CT,
CT HEAD WW,CT HEAD WWO CONTRAST,General CT,
CT NECK W,CT NECK SOFT TISSUE W CONTRAST,General CT,
CT PELV WWO,CT PELVIS WWO CONTRAST,General CT,
CT SIN WO,CT SINUS WO CONTRAST,General CT,
CT THOR WO,CT SPINE THORACIC WO CONTRAST,General CT,
DXR7117,XR EYE FOR FOREIGN BODY,General XR,
DXR7357,XR G / J TUBE CHANGE W/ FLUORO,Angio,
DXR7555,XR BONE LENGTH STUDY,General XR,
DXR7622,XR FLUORO NEEDLE GUIDE,Non-Radiology, This is showing up in SH but fields are null
ECH7524,TRANSESOPHAGEAL ECHO (TEE) WITH DOPPLER AND COLOR FLOW,Non-Radiology,
ECH7539,TRANSTHORACIC ECHO WITH DOPPLER AND COLOR FLOW COMPLETE - USE CONTRAST IF INDICATED,Non-Radiology,
EKG0002,PHARMACOLOGICAL STRESS TEST,Non-Radiology,
EKG0017,EXERCISE STRESS TEST,Non-Radiology,
MA DDB2,MAMMO DIGITAL 2D DIAGNOSTIC BILATERAL W R2,Mamm (Diag),
MA DDB3,MAMMO DIGITAL 3D DIAGNOSTIC BILATERAL W R2,Mamm (Diag),
MA DDL2,MAMMO DIGITAL 2D DIAGNOSTIC LEFT W R2,Mamm (Diag),
MA DDL3,MAMMO DIGITAL 3D DIAGNOSTIC LEFT W R2,Mamm (Diag),
MA DDR2,MAMMO DIGITAL 2D DIAGNOSTIC RIGHT W R2,Mamm (Diag),
MA DDR3,MAMMO DIGITAL 3D DIAGNOSTIC RIGHT W R2,Mamm (Diag),
MA DSB,MAMMO DIGITAL 3D SCREENING BILATERAL W R2,Mamm (Diag),
MA DSB2,MAMMO DIGITAL 2D SCREENING BILATERAL W R2,Mamm (Diag),
MA DSL3,MAMMO DIGITAL 3D SCREENING LEFT W R2,Mamm (Diag),
MA DSR3,MAMMO DIGITAL 3D SCREENING RIGHT W R2,Mamm (Diag),
MAM2860,MAM RADIOGRAPH SURG SPECIMEN,Mamm (Diag),
MAM2867,MAM SCREEN RIGHT 2D - HX BREAST CA LEFT,Mamm (Diag),
MAM3907,MAM DIAGNOSTIC BILAT IMPLANT 3D TOMO,Mamm (Diag),
MAM3909,MAM DIAGNOSTIC LEFT IMPLANT 3D TOMO,Mamm (Diag),
MAM3912,MAM SCREEN BILAT IMPLANT 2D,Mamm (Diag),
MAM3914,MAM SCREEN BILAT IMPLANT 3D TOMO,Mamm (Diag),
MAM3915,MAM SCREEN BILAT IMPLANT 3D TOMO - HX BREAST CA,Mamm (Diag),
MAM3919,MAM SCREEN RIGHT IMPLANT 3D TOMO - HX BREAST CA LEFT,Mamm (Diag),
MR ABDWW,MRI ABDOMEN WWO CONTRAST,Body MR,
MR BR WO,MRI BRAIN/HEAD WO CONTRAST,Neuro,
MR BR WW,MRI BRAIN/HEAD WWO CONTRAST,Neuro,
MR CERV WO,MRI SPINE CERVICAL WO CONTRAST,Neuro,
MR EX JLL,MRI EXTREMITY JOINT LOWER LEFT WO CONTRAST,MSK,
MR EX JLLWW,MRI EXTREMITY JOINT LOWER LEFT WWO CONTRAST,MSK,
MR EX JLR,MRI EXTREMITY JOINT LOWER RIGHT WO CONTRAST,MSK,
MR EX JUL,MRI EXTREMITY JOINT UPPER LEFT WO CONTRAST,MSK,
MR EX NJLL,MRI EXTREMITY NONJOINT LOWER LEFT WO CONTRAST,MSK,
MR EX NJLLWW,MRI EXTREMITY NONJOINT LOWER LEFT WWO CONTRAST,MSK,
MR EX NJLR,MRI EXTREMITY NONJOINT LOWER RIGHT WO CONTRAST,MSK,
MR EXTURWW,MRI EXTREMITY NONJOINT UPPER RIGHT WWO CONTRAST,MSK,
MR FACE,MRI ORBIT/FACE/ST NECK WO CONTRAST,Neuro,
MR FACE WW,MRI ORBIT/FACE/ST NECK WWO CONTRAST,Neuro,
MR LUMB WO,MRI SPINE LUMBAR WO CONTRAST,Neuro,
MR LUMB WW,MRI SPINE LUMBAR WWO CONTRAST,Neuro,
MR MRCP,MRI MRCP,Body MR,
MR PELV WW,MRI PELVIS WWO CONTRAST,Body MR,
MR SHO L,MRI SHOULDER LEFT WO CONTRAST,MSK,
MR SHO LWW,MRI SHOULDER LEFT WWO CONTRAST,MSK,
MR SHO R,MRI SHOULDER RIGHT WO CONTRAST,MSK,
MRA BR WO,MRA BRAIN/HEAD WO CONTRAST,Neuro,
MRA NECK WWO,MRA NECK WWO CONTRAST,Neuro,
MRI3800,MRI ORBIT/ FACE/ NECK W CONTRAST,Neuro,
MRI3869,MRA LOWER EXT W CONTRAST,Angio,
MRI3874,MRI TMJ UNILATERAL,Neuro,
MRI3890,MRI CARDIAC FOR MORPH,Cardiac,
MRI3901,MRI CARDIAC FOR MORPH W/W/O CONTRAST,Cardiac,
MRI3906,MRA CHEST W/WO CONTRAST,Cardiac,
MRI3907,MRI JOINT UPPER EXT W SALINE,MSK,
MRI3908,MRI JOINT LOWER EXT W SALINE,MSK,
NMD5300,NM BONE SCAN MULTI VIEW,NM,
NMD5496,NM CARDIAC SHUNT QUANT (R-L),NM,
NMD5508,NM WBC WHOLE BODY,NM,
NMD5570,NM LUNG SCAN (VENT \T\ PERF),NM,
NMD6010,NM SPECT LYMPHO MELANOMA,NM,
PRO80,"DRAIN, INJECT LARGE JOINT OR BURSA WITH US",Non-Radiology,Has NULL physician
TEMPORARY,TEMPORARY,Non-Radiology,
US AAA,US ABDOMINAL AORTIC ANEURYSM SCREEN,General US,
US ABD,US ABDOMEN COMPLETE,General US,
US ABDLTD,US ABDOMEN LIMITED SINGLE QUADRANT/ORGAN,General US,
US BRD BI,US BREAST DIAGNOSTIC BILATERAL,Mamm (Diag),
US BRL LTD,US BREAST DIAGNOSTIC LEFT LIMITED,Mamm (Diag),
US BRRL,US BREAST RIGHT LIMITED,Mamm (Diag),
US BRS BLM,US BREAST DIAGNOSTIC BILATERAL LIMITED,Mamm (Diag),
US CHEST,US CHEST,General US,
US EXT LTL,US EXTREMITY LEFT NON-VASCULAR LIMITED,General US,
US EXT LTR,US EXTREMITY RIGHT NON-VASCULAR LIMITED,General US,
US IVC LTD,US AORTA IVC ILIAC LIMITED,General US,
US PEL A,US PELVIS ABD ONLY,General US,
US PEL AT,US PELVIS ABD AND TRANSVAGINAL,General US,
US PEL LTD,US PELVIS LIMITED,General US,
US RENAL,US RENAL,General US,
US SCR DOP,US SCROTUM AND CONTENTS W DOPPLER,General US,
US ST NECK,US HEAD AND NECK SOFT TISSUE,General US,
US THYROID,US THYROID,General US,
US V VLEL,US VASCULAR VENOUS LOWER EXTREMITY LEFT,,
US V VLER,US VASCULAR VENOUS LOWER EXTREMITY RIGHT,,
USD1001,US VENOUS DOPPLER - UNILATERAL,,
USD1002,US VENOUS DOPPLER - BILATERAL,,
USD7874,US NUCHAL TRANSLUCENCY (SINGLE),General US,
USD7875,US NUCHAL TRANSLUCENCY (EA ADDL),General US,
USD7876,US AMNIOCENTESIS,,
USD7911,US OB DETAILED EXAM SINGLE,General US,
USD7955,US PELVIC DRAIN PLACMENT,,
USD7964,US OB DETAILED EXAM TWINS,General US,
USD7981,US MIDDLE CEREBRAL ART DOPPLER,,
USD7998,US RESCHD XLD  DEFERRED EXAM,Non-Radiology,
USD8010,US GANGLION CYST ASPIRATION,,
USD8015,US FAST SCAN,,
USD8018,US EXTREMITY LIMITED BILATERAL,General US,
USLIVER,US LIVER,General US,
VAS7904,AAA SCREENING,General US,
X ABD 1V,X-RAY ABDOMEN 1 VIEW,General XR,
X ABD 2V,X-RAY ABDOMEN 2 VIEW AP W UPRIGHT AND/OR DECUBITUS,General XR,
X ABD 3V,XRAY ABDOMEN 3 OR MORE VIEWS,General XR,
X ABD SER,X-RAY ABDOMEN SERIES W PA CHEST 3 VIEWS,General XR,
X ANK 2V L,X-RAY ANKLE 2 VIEWS LEFT,General XR,
X ANK 2V R,X-RAY ANKLE 2 VIEWS RIGHT,General XR,
X ANKLE L,X-RAY ANKLE 3 PLUS VIEWS LEFT,General XR,
X ANKLE R,X-RAY ANKLE 3 PLUS VIEWS RIGHT,General XR,
X BONE AGE,X-RAY BONE AGE 1 VIEW,General XR,
X CHEST,X-RAY CHEST 2 VIEWS,General XR,
X CLAV L,X-RAY CLAVICLE LEFT 2 VIEWS,General XR,
X CLAV R,X-RAY CLAVICLE RIGHT 2 VIEWS,General XR,
X ELB 2V L,X-RAY ELBOW 2 VIEWS LEFT,General XR,
X ELB 2V R,X-RAY ELBOW 2 VIEWS RIGHT,General XR,
X ELBOW L,X-RAY ELBOW 3 PLUS VIEWS LEFT,General XR,
X ELBOW R,X-RAY ELBOW 3 PLUS VIEWS RIGHT,General XR,
X FEM 2L,X-RAY FEMUR 2 PLUS VIEWS LEFT,General XR,
X FEM 2R,X-RAY FEMUR 2 PLUS VIEWS RIGHT,General XR,
X FINGER L,X-RAY FINGER LEFT 3 VIEWS,General XR,
X FINGER R,X-RAY FINGER RIGHT 3 VIEWS,General XR,
X FOOT 1B,X-RAY FOOT 1 VIEW BILATERAL,General XR,
X FOOT 1R,X-RAY FOOT 1 VIEW RIGHT,General XR,
X FOOT L,X-RAY FOOT 3 PLUS VIEWS LEFT,General XR,
X FOOT R,X-RAY FOOT 3 PLUS VIEWS RIGHT,General XR,
X FORE L,X-RAY FOREARM 2 VIEWS LEFT,General XR,
X FORE R,X-RAY FOREARM 2 VIEWS RIGHT,General XR,
X H2B P,X-RAY HIP 2 VIEWS BILATERAL W OR WO PELVIS,General XR,
X H2L P,X-RAY HIP 2 OR 3 VIEWS LEFT W OR WO PELVIS,General XR,
X H2R P,X-RAY HIP 2 OR 3 VIEWS RIGHT W OR WO PELVIS,General XR,
X H3B P,X-RAY HIP 3 OR 4 VIEWS BILATERAL W OR WO PELVIS,General XR,
X HAND 1BIL,X-RAY HAND 1 VIEW BILATERAL,General XR,
X HAND L,X-RAY HAND 3 PLUS VIEWS LEFT,General XR,
X HAND R,X-RAY HAND 3 PLUS VIEWS RIGHT,General XR,
X HEEL L,X-RAY HEEL/CALCANEUS LEFT 2 VIEWS,General XR,
X HEEL R,X-RAY HEEL/CALCANEUS RIGHT 2 VIEWS,General XR,
X HUMER L,X-RAY HUMERUS LEFT 2 VIEWS,General XR,
X HUMER R,X-RAY HUMERUS RIGHT 2 VIEWS,General XR,
X KNEE 2VL,X-RAY KNEE 1 OR 2 VIEWS LEFT,General XR,
X KNEE 2VR,X-RAY KNEE 1 OR 2 VIEWS RIGHT,General XR,
X KNEE 3VB,X-RAY KNEE BILATERAL 3 VIEWS,General XR,
X KNEE 3VL,X-RAY KNEE 3 VIEWS LEFT,General XR,
X KNEE 3VR,X-RAY KNEE 3 VIEWS RIGHT,General XR,
X KNEE 4VB,X-RAY KNEE BILATERAL 4 PLUS VIEWS,General XR,
X KNEE L,X-RAY KNEE 4 PLUS VIEWS LEFT,General XR,
X KNEE R,X-RAY KNEE 4 PLUS VIEWS RIGHT,General XR,
X KUB,X-RAY ABDOMEN 1 VIEW/KUB,General XR,
X MAND 3V,X-RAY MANDIBLE 3 VIEWS OR LESS,General XR,
X NASAL,X-RAY NASAL BONES 3 VIEWS,General XR,
X NECK ST,X-RAY NECK SOFT TISSUE 1 OR MORE VIEWS,General XR,
X PELVIS,X-RAY PELVIS 1 OR 2 VIEWS,General XR,
X PELVIS 3,X-RAY PELVIS 3 PLUS VIEWS,General XR,
X RIBS BI,X-RAY RIBS BILATERAL 4 PLUS VIEWS W PA CHEST,General XR,
X RIBS LW,X-RAY RIBS LEFT W PA CHEST 3 PLUS VIEWS,General XR,
X RIBS R,X-RAY RIBS RIGHT 2 VIEWS,General XR,
X RIBS RW,X-RAY RIBS RIGHT W PA CHEST 3 PLUS VIEWS,General XR,
X SACRUM,X-RAY SACRUM AND COCCYX MIN 2 VIEWS,General XR,
X SE2V,X-RAY SPINE ENTIRE 2 OR 3 VIEWS,General XR,
X SHOULD L,X-RAY SHOULDER 2 PLUS VIEWS LEFT,General XR,
X SHOULD R,X-RAY SHOULDER 2 PLUS VIEWS RIGHT,General XR,
X SHUNT PP,X-RAY SHUNTOGRAM PREV PLACE INDWELLING NON-VASCULAR,General XR,
X SI JT 2V,X-RAY SACROILIAC JOINTS 2 VIEWS OR LESS,General XR,
X SKULL,X-RAY SKULL 4 PLUS VIEWS,General XR,
X SPI C 2V,X-RAY SPINE CERVICAL 2 OR 3 VIEWS,General XR,
X SPI L 2V,X-RAY SPINE LUMBAR 2 OR 3 VIEWS,General XR,
X SPI L B,X-RAY SPINE LUMBAR COMPLETE W BENDING,General XR,
X SPI T 2V,X-RAY SPINE THORACIC 2 VIEWS,General XR,
X SPI T 4V,X-RAY SPINE THORACIC COMPLETE 4 PLUS VIEWS,General XR,
X SPINE 1V,X-RAY SPINE 1 VIEW,General XR,
X SPINE AL,X-RAY SPINE THORACOLUMBAR 2 VIEWS,General XR,
X SPINE C,X-RAY SPINE CERVICAL COMPLETE 4 OR 5 VIEWS,General XR,
X SPINE T,X-RAY SPINE THORACIC 3 VIEWS,General XR,
X STERNUM,X-RAY STERNUM 2 PLUS VIEWS,General XR,
X TIBIA L,X-RAY TIBIA FIBULA 2 VIEWS LEFT,General XR,
X TIBIA R,X-RAY TIBIA FIBULA 2 VIEWS RIGHT,General XR,
X TMJ BI,X-RAY TMJ BILATERAL,General XR,
X TOE L,X-RAY TOE 2 PLUS VIEWS LEFT,General XR,
X TOE R,X-RAY TOE 2 PLUS VIEWS RIGHT,General XR,
X WR 1VR,X-RAY WRIST 1 VIEW RIGHT,General XR,
X WRI 2V L,X-RAY WRIST 2 VIEWS LEFT,General XR,
X WRI 2V R,X-RAY WRIST 2 VIEWS RIGHT,General XR,
X WRIST L,X-RAY WRIST 3 PLUS VIEWS LEFT,General XR,
X WRIST R,X-RAY WRIST 3 PLUS VIEWS RIGHT,General XR,
